addison-wesley professional|Addison-Wesley
john wiley & sons|Wiley
manning publications|Manning
manning publications company|Manning
mit press|MIT Press
o'reilly media, inc.|O'Reilly
packt pub limited|Packt
packt publishing|Packt
packt publishing ltd|Packt
pearson education|Pearson
prentice hall|Prentice Hall
prentice hall ptr|Prentice Hall
prentice-hall ptr|Prentice Hall
cambridge university press|Cambridge Press
springer science & business media|Springer
oreilly & associates incorporated|O'Reilly
pragmatic bookshelf|Pragmatic
wiley-blackwell|Wiley
wiley-interscience|Wiley
berrett-koehler publishers|Berrett-Koehler
"o'reilly media, inc."|O'Reilly
